parameter,value,unit,label,source_text,source_url,claim_id
purchase_age_days,160,日,母豚として導入される日齢,広岡博之(2018)表1「モデルへの入力条件（ベース条件）」の母豚欄より「母豚として導入される日齢」＝160日。生産現場への聞き取り等をもとに作成された条件,https://doi.org/10.2508/chikusan.89.415,c301
first_mating_age_days,240,日,初回交配日齢,広岡博之(2018)表1「モデルへの入力条件（ベース条件）」の母豚欄より「初回交配日齢」＝240日。生産現場への聞き取り等をもとに作成された条件,https://doi.org/10.2508/chikusan.89.415,c301
gestation_days,114,日,妊娠期間,広岡博之(2018)表1「モデルへの入力条件（ベース条件）」の母豚欄より「妊娠期間」＝114日。生産現場への聞き取り等をもとに作成された条件,https://doi.org/10.2508/chikusan.89.415,c301
lactation_days,21,日,授乳期間（分娩から離乳まで）,広岡博之(2018)表1「モデルへの入力条件（ベース条件）」の母豚欄より「授乳期間（分娩から離乳まで）」＝21日。生産現場への聞き取り等をもとに作成された条件,https://doi.org/10.2508/chikusan.89.415,c301
farrowing_interval_days,159,日,分娩間隔（分娩から次の分娩まで）,広岡博之(2018)表1「モデルへの入力条件（ベース条件）」の母豚欄より「分娩間隔（分娩から次の分娩まで）」＝159日。生産現場への聞き取り等をもとに作成された条件,https://doi.org/10.2508/chikusan.89.415,c301
breeding_cycles,6,回,繁殖サイクル数（生涯の分娩回数）,広岡博之(2018)表1「モデルへの入力条件（ベース条件）」の母豚欄より「繁殖サイクル数（生涯の分娩回数）」＝6回。生産現場への聞き取り等をもとに作成された条件,https://doi.org/10.2508/chikusan.89.415,c301
litter_born_alive,11,頭,一腹生存産子数（生時）,広岡博之(2018)表1「モデルへの入力条件（ベース条件）」の母豚欄より「一腹生存産子数（生時）」＝11頭。生産現場への聞き取り等をもとに作成された条件,https://doi.org/10.2508/chikusan.89.415,c301
